repo,arxiv_hits
a16z/helios,50
alloy-rs/alloy,50
apeworx/ape,50
argotorg/act,50
argotorg/fe,50
argotorg/hevm,0
argotorg/solidity,50
argotorg/sourcify,1
chainsafe/lodestar,6
consensys/teku,5
erigontech/erigon,10
erigontech/silkworm,10
eth-infinitism/account-abstraction,0
ethdebug/format,50
ethereum-lists/chains,50
ethereum/consensus-specs,0
ethereum/eips,50
ethereum/evmone,1
ethereum/execution-apis,0
ethereum/go-ethereum,0
ethereum/py-evm,0
ethereum/remix-project,0
ethereum/web3.py,3
ethers-io/ethers.js,0
ethpandaops/checkpointz,0
ethpandaops/ethereum-helm-charts,0
ethpandaops/ethereum-package,0
foundry-rs/foundry,50
grandinetech/grandine,10
hyperledger-web3j/web3j,0
hyperledger/besu,11
lambdaclass/lambda_ethereum_consensus,0
nethereum/nethereum,0
nethermindeth/nethermind,1
nomicfoundation/hardhat,8
openzeppelin/openzeppelin-contracts,0
paradigmxyz/reth,8
prysmaticlabs/prysm,2
safe-global/safe-smart-account,0
scaffold-eth/scaffold-eth-2,0
sigp/lighthouse,50
status-im/nimbus-eth2,0
vyperlang/titanoboa,0
vyperlang/vyper,3
wevm/viem,1
