repo,stars,forks,open_issues,watchers,last_pushed,created_at,contributors,commitCount,language,size,archived,fork,open_pull_requests,closed_pull_requests,releases_count,latest_release,license
a16z/helios,2030,405,63,23,2025-10-01T15:32:55Z,2022-08-10T17:26:41Z,86,410,Rust,3158,False,False,35,471,30,2025-10-01T15:29:13Z,MIT
alloy-rs/alloy,1019,466,76,26,2025-10-02T14:56:08Z,2023-04-17T23:31:47Z,237,2219,Rust,57859,False,False,30,2218,30,2025-09-30T13:50:28Z,Apache-2.0
apeworx/ape,1005,164,185,15,2025-10-01T19:46:12Z,2021-01-05T00:18:22Z,81,1654,Python,1743501,False,False,7,1792,30,2025-09-29T23:43:36Z,Apache-2.0
argotorg/act,251,44,38,9,2025-09-16T14:09:00Z,2019-09-13T16:50:11Z,13,1106,Haskell,4862,False,False,3,124,1,2021-08-31T11:19:33Z,AGPL-3.0
argotorg/fe,1686,207,117,34,2025-09-30T19:08:43Z,2019-08-10T05:24:07Z,52,2622,Rust,23811,False,False,18,683,26,2023-11-03T10:53:31Z,Apache-2.0
argotorg/hevm,312,66,63,9,2025-10-02T18:44:52Z,2022-08-29T18:39:09Z,115,6249,Haskell,16530,False,False,8,629,14,2025-07-22T11:08:26Z,AGPL-3.0
argotorg/solidity,25216,6212,634,739,2025-10-02T14:09:19Z,2015-08-17T12:27:26Z,800,25682,C++,80151,False,False,69,9333,30,2025-05-07T10:27:27Z,GPL-3.0
argotorg/sourcify,872,481,95,38,2025-10-02T08:55:51Z,2019-04-24T08:23:22Z,158,3463,TypeScript,37217,False,False,2,1416,30,2025-09-18T12:28:36Z,MIT
chainsafe/lodestar,1345,400,312,33,2025-10-02T15:30:11Z,2018-06-22T14:41:47Z,139,10820,TypeScript,408689,False,False,34,5520,30,2025-09-26T13:34:43Z,Apache-2.0
consensys/teku,732,348,237,32,2025-10-02T18:49:01Z,2018-09-07T09:30:05Z,114,6234,Java,559597,False,False,17,6914,30,2025-09-24T01:35:26Z,Apache-2.0
erigontech/erigon,3433,1378,486,63,2025-10-02T19:12:54Z,2019-05-27T12:12:40Z,990,28932,Go,453084,False,False,85,12765,30,2025-10-02T08:16:06Z,LGPL-3.0
erigontech/silkworm,307,82,114,10,2025-05-21T09:10:41Z,2020-06-11T14:22:43Z,31,2889,C++,135244,False,False,6,2542,15,2025-02-01T15:38:36Z,Apache-2.0
eth-infinitism/account-abstraction,1782,762,10,36,2025-09-12T16:35:39Z,2022-01-24T15:01:07Z,27,435,TypeScript,3557,False,False,2,437,5,2025-03-26T18:03:36Z,GPL-3.0
ethdebug/format,70,8,41,9,2025-06-25T12:50:13Z,2022-11-14T19:33:47Z,7,306,TypeScript,24151,False,False,6,104,0,,NOASSERTION
ethereum-lists/chains,9790,7502,177,555,2025-10-02T14:07:15Z,2018-12-20T17:53:10Z,1774,3722,Kotlin,420673,False,False,137,5526,0,,MIT
ethereum/consensus-specs,3798,1142,54,239,2025-10-01T20:03:02Z,2018-09-20T05:12:54Z,198,10807,Python,25171,False,False,23,3425,30,2025-09-24T14:11:07Z,CC0-1.0
ethereum/eips,13549,5845,287,978,2025-10-02T02:26:16Z,2015-10-26T13:57:23Z,936,6764,Python,83675,False,False,267,7767,0,,CC0-1.0
ethereum/evmone,954,329,124,31,2025-10-02T13:21:04Z,2018-12-05T16:37:26Z,28,2497,C++,7178,False,False,0,0,22,2025-09-25T20:13:26Z,Apache-2.0
ethereum/execution-apis,1060,450,119,55,2025-10-01T08:33:36Z,2021-06-16T19:08:14Z,78,511,Io,22930,False,False,38,397,13,2024-04-22T03:09:19Z,CC0-1.0
ethereum/go-ethereum,49947,21345,330,2207,2025-10-02T15:32:20Z,2013-12-26T13:05:46Z,1163,16424,Go,229482,False,False,128,12319,30,2025-09-26T09:41:54Z,LGPL-3.0
ethereum/py-evm,2360,693,79,98,2025-09-08T15:31:46Z,2016-12-27T19:36:00Z,95,3883,Python,17068,True,False,17,1416,9,2021-03-22T17:58:11Z,MIT
ethereum/remix-project,2762,1206,813,71,2025-10-02T13:35:18Z,2020-03-20T07:49:48Z,299,30127,TypeScript,299760,False,False,0,0,30,2025-09-23T16:39:09Z,Apache-2.0
ethereum/web3.py,5384,1822,123,122,2025-09-12T21:21:54Z,2016-04-14T15:59:35Z,303,5217,Python,32105,False,False,30,2116,0,,MIT
ethereumjs/ethereumjs-monorepo,2719,829,167,61,2025-10-02T16:54:02Z,2015-07-10T14:54:03Z,232,8547,TypeScript,114504,False,False,61,2835,30,2025-04-29T09:54:42Z,
ethers-io/ethers.js,8499,2015,610,112,2025-09-10T23:21:24Z,2016-07-16T04:35:37Z,1,774,TypeScript,177154,False,False,171,488,30,2025-07-02T12:39:48Z,MIT
ethpandaops/checkpointz,157,38,57,6,2025-09-30T01:47:54Z,2022-07-25T02:21:34Z,13,356,Go,8430,False,False,50,141,30,2025-09-30T01:47:54Z,GPL-3.0
ethpandaops/ethereum-helm-charts,179,84,19,7,2025-10-01T06:24:08Z,2021-09-23T11:02:11Z,20,362,Smarty,1825,False,False,10,361,30,2025-09-23T07:02:04Z,MIT
ethpandaops/ethereum-package,413,280,47,11,2025-10-02T10:20:09Z,2022-10-27T14:32:05Z,74,1103,Starlark,7860,False,False,17,898,26,2025-05-08T23:02:24Z,MIT
foundry-rs/foundry,9607,2180,472,93,2025-10-02T18:31:09Z,2021-09-08T11:23:11Z,579,5410,Rust,47199,False,False,33,6146,30,2025-10-01T20:25:03Z,Apache-2.0
grandinetech/grandine,228,61,67,6,2025-10-02T12:43:59Z,2021-06-29T11:50:59Z,13,533,Rust,7666,False,False,32,264,15,2025-09-26T13:42:56Z,GPL-3.0
hyperledger-web3j/web3j,5329,1760,147,216,2025-09-23T19:22:03Z,2016-09-04T05:48:49Z,253,2470,Java,11583,False,False,0,0,30,2025-09-23T15:59:53Z,NOASSERTION
hyperledger/besu,1707,969,200,59,2025-10-02T04:49:48Z,2019-09-04T21:11:20Z,241,6144,Java,99591,False,False,52,6051,30,2025-10-01T00:47:31Z,Apache-2.0
lambdaclass/lambda_ethereum_consensus,109,42,140,8,2025-09-22T17:37:47Z,2023-07-10T15:31:02Z,24,823,Elixir,9343,False,False,12,905,1,2025-04-24T21:12:54Z,Apache-2.0
nethereum/nethereum,2218,732,111,114,2025-09-12T19:07:48Z,2015-11-23T20:30:14Z,99,2313,C#,783812,False,False,2,213,30,2025-05-28T16:09:41Z,MIT
nethermindeth/nethermind,1449,559,462,53,2025-10-02T18:06:19Z,2017-08-23T15:10:51Z,170,9370,C#,509502,False,False,123,6600,30,2025-09-25T13:26:23Z,GPL-3.0
nomicfoundation/hardhat,8172,1628,609,73,2025-10-02T14:50:48Z,2018-04-14T22:20:59Z,416,17107,TypeScript,206984,False,False,14,3866,30,2025-09-10T17:08:53Z,NOASSERTION
openzeppelin/openzeppelin-contracts,26542,12217,294,647,2025-09-29T08:15:38Z,2016-08-01T20:54:54Z,479,3965,Solidity,50156,False,False,55,3681,30,2025-09-26T13:38:08Z,MIT
paradigmxyz/reth,5026,1900,319,65,2025-10-02T19:10:35Z,2022-09-15T23:05:57Z,680,11653,Rust,120014,False,False,97,13606,30,2025-09-30T15:34:48Z,Apache-2.0
prysmaticlabs/prysm,3646,1194,376,125,2025-10-02T18:24:52Z,2018-01-11T21:31:33Z,296,9815,Go,180723,False,False,0,0,30,2025-09-29T16:56:27Z,GPL-3.0
safe-global/safe-smart-account,2056,1075,21,50,2025-09-29T09:28:34Z,2017-09-02T09:23:38Z,67,1145,TypeScript,10640,False,False,0,625,17,2025-07-03T09:56:51Z,LGPL-3.0
scaffold-eth/scaffold-eth-2,1809,1145,10,26,2025-10-02T16:10:14Z,2022-09-19T14:19:48Z,61,488,TypeScript,8500,False,False,8,751,18,2024-04-16T16:04:45Z,MIT
sigp/lighthouse,3302,919,473,71,2025-10-01T09:29:20Z,2018-07-06T07:56:39Z,227,7074,Rust,149461,False,False,85,5654,30,2025-09-29T07:04:41Z,Apache-2.0
status-im/nimbus-eth2,623,292,214,38,2025-10-02T15:23:06Z,2018-07-20T13:45:21Z,109,7620,Nim,69639,False,False,26,6270,30,2025-09-26T20:39:59Z,NOASSERTION
vyperlang/titanoboa,289,63,86,11,2025-09-04T12:31:51Z,2022-06-24T13:28:19Z,25,1555,Python,1661,False,False,24,253,14,2025-06-04T14:24:10Z,NOASSERTION
vyperlang/vyper,5101,865,550,154,2025-10-01T03:10:43Z,2016-11-11T08:56:41Z,243,6018,Python,13438,False,False,89,2527,30,2025-06-18T20:09:23Z,NOASSERTION
web3/web3.js,19895,5062,144,459,2025-03-05T08:48:59Z,2014-09-30T20:50:37Z,318,4082,TypeScript,137084,True,False,0,2917,30,2024-12-03T16:55:33Z,NOASSERTION
wevm/viem,3179,1231,16,28,2025-10-02T04:58:20Z,2022-07-22T00:54:04Z,615,3791,TypeScript,374679,False,False,10,2540,30,2025-10-02T04:58:21Z,NOASSERTION
