repo_name,num_threads,unique_authors,last_mention,num_threads_norm,unique_authors_norm
a16z/helios,6,6,2025-09-05T08:19:14.271Z,0.12,0.13333333333333333
alloy-rs/alloy,1,1,2025-07-17T04:08:15.961Z,0.02,0.022222222222222223
apeworx/ape,23,19,2025-08-26T09:43:09.421Z,0.46,0.4222222222222222
chainsafe/lodestar,50,16,2025-09-02T00:02:56.752Z,1.0,0.35555555555555557
consensys/teku,50,19,2025-09-04T20:37:26.359Z,1.0,0.4222222222222222
erigontech/erigon,50,21,2025-09-02T00:02:56.752Z,1.0,0.4666666666666667
eth-infinitism/account-abstraction,50,41,2025-08-29T18:27:58.121Z,1.0,0.9111111111111111
ethereum-lists/chains,50,44,2025-09-05T00:10:36.538Z,1.0,0.9777777777777779
ethereum/consensus-specs,24,14,2025-08-28T12:10:31.739Z,0.48,0.3111111111111111
ethereum/eips,50,41,2025-08-29T21:17:20.344Z,1.0,0.9111111111111111
ethereum/evmone,37,16,2025-08-28T14:42:19.314Z,0.74,0.35555555555555557
ethereum/execution-apis,8,8,2025-07-06T13:52:40.590Z,0.16,0.17777777777777778
argotorg/fe,0,0,,0.0,0.0
ethereum/go-ethereum,50,40,2025-08-26T18:33:25.055Z,1.0,0.888888888888889
ethereum/py-evm,6,5,2025-04-27T11:32:32.950Z,0.12,0.11111111111111112
ethereum/remix-project,0,0,,0.0,0.0
argotorg/solidity,50,42,2025-08-06T07:08:45.250Z,1.0,0.9333333333333333
argotorg/sourcify,13,12,2025-07-22T07:18:34.222Z,0.26,0.26666666666666666
ethereum/web3.py,3,3,2025-09-05T15:07:16.742Z,0.06,0.06666666666666667
ethers-io/ethers.js,15,13,2025-09-05T15:07:16.742Z,0.3,0.2888888888888889
foundry-rs/foundry,25,24,2025-09-05T15:07:16.742Z,0.5,0.5333333333333333
grandinetech/grandine,33,9,2025-08-21T06:02:00.961Z,0.66,0.2
hyperledger-web3j/web3j,8,7,2025-02-26T21:58:36.055Z,0.16,0.15555555555555556
hyperledger/besu,50,21,2025-09-02T00:02:56.752Z,1.0,0.4666666666666667
nethereum/nethereum,1,1,2022-08-19T11:46:27.805Z,0.02,0.022222222222222223
nethermindeth/nethermind,50,27,2025-09-06T14:15:41.146Z,1.0,0.6
nomicfoundation/hardhat,44,33,2025-08-26T18:33:25.055Z,0.88,0.7333333333333334
openzeppelin/openzeppelin-contracts,8,8,2024-06-21T21:19:01.507Z,0.16,0.17777777777777778
paradigmxyz/reth,50,28,2025-09-02T00:02:56.752Z,1.0,0.6222222222222222
prysmaticlabs/prysm,50,12,2025-09-04T20:37:26.359Z,1.0,0.26666666666666666
safe-global/safe-smart-account,0,0,,0.0,0.0
scaffold-eth/scaffold-eth-2,1,1,2023-09-12T15:59:10.398Z,0.02,0.022222222222222223
sigp/lighthouse,50,16,2025-09-04T20:37:26.359Z,1.0,0.35555555555555557
status-im/nimbus-eth2,1,1,2025-05-06T17:09:12.936Z,0.02,0.022222222222222223
vyperlang/titanoboa,0,0,,0.0,0.0
vyperlang/vyper,50,31,2025-08-13T04:46:56.355Z,1.0,0.6888888888888889
wevm/viem,12,12,2025-09-05T15:07:16.742Z,0.24,0.26666666666666666
argotorg/hevm,2,2,2025-04-25T16:25:20.909Z,0.04,0.044444444444444446
ethdebug/format,50,45,2025-08-22T19:47:13.492Z,1.0,1.0
argotorg/act,50,45,2025-09-05T00:10:36.538Z,1.0,1.0
ethpandaops/ethereum-package,1,1,2024-12-09T01:21:22.248Z,0.02,0.022222222222222223
ethpandaops/ethereum-helm-charts,0,0,,0.0,0.0
ethpandaops/checkpointz,1,1,2025-04-05T16:41:40.910Z,0.02,0.022222222222222223
lambdaclass/lambda_ethereum_consensus,1,1,2025-06-20T15:47:06.978Z,0.02,0.022222222222222223
erigontech/silkworm,2,2,2022-10-03T20:55:42.978Z,0.04,0.044444444444444446
