repo_name,monthly_downloads
a16z/helios,0
alloy-rs/alloy,0
apeworx/ape,0
chainsafe/lodestar,8051
consensys/teku,0
erigontech/erigon,0
eth-infinitism/account-abstraction,0
ethereum-lists/chains,0
ethereum/consensus-specs,0
ethereum/eips,0
ethereum/evmone,0
ethereum/execution-apis,0
argotorg/fe,0
ethereum/go-ethereum,0
ethereum/py-evm,0
ethereum/remix-project,546
argotorg/solidity,0
argotorg/sourcify,224
ethereum/web3.py,0
ethers-io/ethers.js,8670797
foundry-rs/foundry,0
grandinetech/grandine,0
hyperledger-web3j/web3j,0
hyperledger/besu,0
nethereum/nethereum,0
nethermindeth/nethermind,0
nomicfoundation/hardhat,1519319
openzeppelin/openzeppelin-contracts,2422240
paradigmxyz/reth,0
prysmaticlabs/prysm,0
safe-global/safe-smart-account,213793
scaffold-eth/scaffold-eth-2,0
sigp/lighthouse,0
status-im/nimbus-eth2,0
vyperlang/titanoboa,0
vyperlang/vyper,0
wevm/viem,0
argotorg/hevm,0
ethdebug/format,0
argotorg/act,0
ethpandaops/ethereum-package,0
ethpandaops/ethereum-helm-charts,0
ethpandaops/checkpointz,0
lambdaclass/lambda_ethereum_consensus,0
erigontech/silkworm,0
