repo,readme_length,readme_lines,has_code_blocks,has_sections,starts_with_badge
a16z/helios,11049,177,1,1,0
alloy-rs/alloy,10760,192,1,1,0
apeworx/ape,6227,147,1,1,0
argotorg/act,2112,69,1,1,0
argotorg/fe,849,18,0,1,0
argotorg/hevm,2734,64,1,1,0
argotorg/solidity,4164,91,1,1,0
argotorg/sourcify,3981,49,0,1,0
chainsafe/lodestar,13759,77,1,1,0
consensys/teku,5428,133,1,1,0
erigontech/erigon,36729,817,1,1,0
erigontech/silkworm,9929,241,1,1,0
eth-infinitism/account-abstraction,5175,145,1,1,0
ethdebug/format,4669,104,1,1,0
ethereum-lists/chains,5124,156,1,1,0
ethereum/consensus-specs,4741,105,1,1,0
ethereum/eips,5109,86,1,1,0
ethereum/evmone,5621,167,1,1,0
ethereum/execution-apis,4424,145,1,1,0
ethereum/go-ethereum,16222,255,1,1,0
ethereum/py-evm,1629,38,1,1,0
ethereum/remix-project,9951,269,1,1,0
ethereum/web3.py,1881,40,1,1,0
ethers-io/ethers.js,6057,138,1,0,0
ethpandaops/checkpointz,9766,270,1,1,0
ethpandaops/ethereum-helm-charts,7926,143,1,1,0
foundry-rs/foundry,16350,362,1,1,0
grandinetech/grandine,4567,113,1,1,0
hyperledger-web3j/web3j,9816,289,1,1,0
hyperledger/besu,3940,71,0,1,0
lambdaclass/lambda_ethereum_consensus,19063,410,1,1,0
nethereum/nethereum,14737,162,1,1,0
nethermindeth/nethermind,5194,135,1,1,0
nomicfoundation/hardhat,1171,30,1,1,0
openzeppelin/openzeppelin-contracts,8040,107,1,1,0
paradigmxyz/reth,11242,148,1,1,0
prysmaticlabs/prysm,3030,67,0,1,0
safe-global/safe-smart-account,5293,128,1,1,0
scaffold-eth/scaffold-eth-2,3869,87,1,1,0
sigp/lighthouse,3187,80,0,1,0
status-im/nimbus-eth2,8500,166,1,1,0
vyperlang/titanoboa,10256,258,1,1,0
vyperlang/vyper,4217,83,1,1,0
wevm/viem,15204,295,1,1,0
